año,presidente,tema,pct_presidencial,pct_ciudadana,brecha
2022,boric,Desigualdad,1.98,2.87,-0.89
2022,boric,Economía,18.61,3.9,14.71
2022,boric,Educación,14.25,9.0,5.25
2022,boric,Medio ambiente,4.76,1.75,3.01
2022,boric,Migración,2.18,5.51,-3.33
2022,boric,Pensiones,4.76,10.82,-6.06
2022,boric,Pobreza,1.59,4.61,-3.03
2022,boric,Salud,10.68,11.22,-0.54
2022,boric,Seguridad,13.85,31.45,-17.59
2022,boric,Trabajo/Empleo,12.47,8.7,3.77
2022,boric,Vivienda,6.15,4.12,2.03
2023,boric,Constitución,1.66,0.0,1.66
2023,boric,Corrupción,2.89,7.7,-4.81
2023,boric,Derechos humanos,4.12,0.94,3.18
2023,boric,Desigualdad,0.7,2.2,-1.5
2023,boric,Economía,17.73,3.71,14.02
2023,boric,Educación,11.82,8.45,3.36
2023,boric,Medio ambiente,5.64,1.11,4.53
2023,boric,Migración,5.51,5.05,0.46
2023,boric,Pensiones,2.49,9.28,-6.79
2023,boric,Pobreza,1.23,6.17,-4.94
2023,boric,Salud,9.22,13.63,-4.41
2023,boric,Seguridad,21.87,29.28,-7.41
2023,boric,Trabajo/Empleo,10.19,8.11,2.08
2023,boric,Vivienda,4.95,4.38,0.56
2024,boric,Constitución,2.58,0.0,2.58
2024,boric,Corrupción,0.91,7.07,-6.16
2024,boric,Derechos humanos,4.4,1.43,2.97
2024,boric,Desigualdad,0.76,2.58,-1.81
2024,boric,Economía,17.99,2.37,15.62
2024,boric,Educación,15.44,8.35,7.09
2024,boric,Medio ambiente,4.09,1.74,2.35
2024,boric,Migración,3.18,6.67,-3.49
2024,boric,Pensiones,3.32,10.77,-7.45
2024,boric,Pobreza,1.51,4.73,-3.22
2024,boric,Salud,11.49,10.39,1.1
2024,boric,Seguridad,19.67,32.57,-12.91
2024,boric,Trabajo/Empleo,10.59,8.0,2.59
2024,boric,Vivienda,4.09,3.33,0.76
2025,boric,Constitución,1.52,0.0,1.52
2025,boric,Corrupción,3.25,6.08,-2.83
2025,boric,Derechos humanos,4.01,1.12,2.89
2025,boric,Desigualdad,1.52,2.37,-0.86
2025,boric,Economía,15.42,1.64,13.78
2025,boric,Educación,16.96,8.47,8.49
2025,boric,Medio ambiente,4.18,1.31,2.87
2025,boric,Migración,2.1,6.87,-4.77
2025,boric,Pensiones,3.62,7.83,-4.22
2025,boric,Pobreza,1.52,5.18,-3.66
2025,boric,Salud,18.11,12.53,5.58
2025,boric,Seguridad,13.51,31.47,-17.96
2025,boric,Trabajo/Empleo,12.0,11.44,0.56
2025,boric,Vivienda,2.3,3.7,-1.4
